protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9972;0.9989;0.9934;0.9799
browsing;0.9981;0.9981;0.9747;0.9845
chat;0.9996;0.9996;0.9785;0.9518
email;0.9994;0.9997;0.9968;0.9799
file;0.9989;0.9974;0.9153;0.973
p2p;1.0;0.9996;0.9753;0.9446
video;1.0;1.0;0.9936;0.9965
voip;1.0;1.0;0.9989;0.9903
