protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8782;0.7985;0.6388;0.8825
browsing;0.8503;0.7774;0.7662;0.8422
chat;0.8342;0.8686;0.8499;0.8385
email;0.9563;0.8752;0.9822;0.8913
file;0.9865;0.9299;0.9772;0.8895
p2p;0.951;0.8279;0.8668;0.9516
video;0.9383;0.9505;0.9618;0.7643
voip;0.8767;0.914;0.9216;0.8327
