protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.6866;0.9355;0.8956;0.8689
browsing;0.9047;0.8548;0.8571;0.8264
chat;0.9647;0.9807;0.9103;0.8631
email;0.9954;0.938;0.9895;0.9144
file;0.9762;0.9813;0.8997;0.9559
p2p;0.9767;0.9485;0.9308;0.9439
video;0.9921;0.9434;0.8309;0.9197
voip;0.9579;0.9349;0.9364;0.9349
