protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9841;0.9108;0.9448;0.9311
browsing;0.9082;0.9207;0.9065;0.8403
chat;0.9729;0.9112;0.8705;0.8972
email;0.9763;0.9993;0.9894;0.9509
file;0.9946;0.9543;0.932;0.9677
p2p;0.9717;0.9675;0.8931;0.9575
video;0.9966;0.8976;0.8815;0.9186
voip;0.8536;0.9956;0.9511;0.9279
