protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9087;0.9387;0.8505;0.8972
browsing;0.8514;0.8887;0.7736;0.8717
chat;0.8356;0.9844;0.8375;0.7838
email;0.9813;0.9868;0.9916;0.9722
file;0.967;0.889;0.9458;0.9717
p2p;0.9813;0.915;0.8985;0.9216
video;0.9936;0.9359;0.9287;0.8634
voip;0.9261;0.8837;0.9328;0.8237
