protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.6518;0.8722;0.7332;0.8559
browsing;0.612;0.7429;0.7222;0.6421
chat;0.8748;0.9233;0.7695;0.6865
email;0.9423;0.7851;0.9657;0.9038
file;0.9505;0.9602;0.9256;0.9161
p2p;0.8914;0.7739;0.8649;0.8841
video;0.9597;0.9361;0.6679;0.8018
voip;0.8765;0.8117;0.9817;0.8094
