protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8678;0.8432;0.7731;0.8664
browsing;0.8044;0.7593;0.8383;0.7482
chat;0.9453;0.8466;0.8293;0.8287
email;0.9522;0.9317;0.9091;0.8593
file;0.9677;0.8678;0.8239;0.9511
p2p;0.8884;0.9146;0.9007;0.918
video;0.9637;0.9682;0.858;0.8295
voip;0.9307;0.9419;0.7193;0.9314
