protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8394;0.8818;0.9664;0.7019
browsing;0.5285;0.7444;0.6393;0.7916
chat;0.9424;0.808;0.6949;0.8876
email;0.8914;0.9025;0.9809;0.9398
file;0.8015;0.9427;0.8709;0.9575
p2p;0.7877;0.8172;0.9548;0.7519
video;0.8849;0.7689;0.823;0.7036
voip;0.9302;0.7343;0.8317;0.8673
