protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9736;0.9618;0.9286;0.9398
browsing;0.964;0.9654;0.9003;0.9171
chat;0.992;0.9645;0.9598;0.9141
email;0.9873;0.9995;0.9883;0.9791
file;0.9996;0.9527;0.9718;0.971
p2p;0.9836;0.9759;0.8982;0.9819
video;0.9988;0.9912;0.959;0.9394
voip;0.934;0.9946;0.9816;0.9112
