protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9813;0.9258;0.9239;0.9544
browsing;0.9443;0.9765;0.7707;0.9507
chat;0.9777;0.992;0.8004;0.9347
email;0.9969;0.9574;0.9973;0.9334
file;0.9994;0.8968;0.9678;0.9764
p2p;0.9946;0.9154;0.9329;0.9735
video;0.9938;0.9744;0.9878;0.7828
voip;0.9832;0.9821;0.9921;0.9414
