protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8825;0.9831;0.8528;0.9716
browsing;0.998;0.8877;0.9204;0.8574
chat;0.9938;0.9727;0.9058;0.9113
email;0.976;0.9991;0.9944;0.9656
file;0.9983;0.9925;0.9547;0.9832
p2p;0.9837;0.9714;0.9688;0.9726
video;0.9879;0.9995;0.9401;0.8961
voip;0.9856;0.9855;0.9697;0.8795
