protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8311;0.8966;0.7392;0.8014
browsing;0.9611;0.9835;0.9045;0.9034
chat;0.9996;0.9999;0.6845;0.6815
email;0.9996;0.9998;0.9214;0.8985
file;0.9462;0.8034;0.634;0.5768
p2p;0.936;0.9547;0.7117;0.6984
video;0.9987;0.9998;0.9689;0.9936
voip;0.9649;0.9756;0.8998;0.9248
