1536.6,0.0,24.1,0.0,5.3,0.0,0.0,0.0,0.8,0.0,65.7,0.0,2.2,0.0,0.3,0.0
0.0,832.0,0.0,13.7,0.0,0.0,0.0,6.3,0.0,0.0,0.0,12.0,0.0,0.2,0.0,0.8
56.7,0.0,1429.7,0.0,24.1,0.0,0.9,0.1,7.3,0.1,1.4,0.0,34.2,0.0,4.3,0.2
0.0,13.5,0.0,908.4,0.0,0.4,0.0,2.7,0.1,0.0,0.0,9.5,0.0,0.1,0.0,6.3
15.5,0.0,56.8,0.0,1163.7,0.0,1.6,0.0,8.6,0.1,13.4,0.0,6.7,0.0,6.6,0.0
0.0,2.2,0.0,0.3,0.0,1183.5,0.0,5.4,0.0,0.0,0.0,0.1,0.0,0.2,0.0,35.3
9.9,0.0,2.6,0.0,1.0,0.0,992.8,0.0,7.2,0.0,0.3,0.0,0.1,0.0,0.0,0.1
0.0,0.4,0.0,0.3,0.0,0.0,0.0,1485.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,1.8,0.0,3.9,0.0,6.2,0.0,920.5,0.0,14.2,0.0,0.1,0.0,0.1,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1478.6,0.0,0.0,0.0,0.9,0.0,67.2
8.1,0.0,1.5,0.0,7.6,0.1,0.2,0.0,2.0,0.0,1151.8,0.0,0.2,0.0,1.5,0.0
3.4,6.4,0.0,19.4,0.0,0.0,0.3,2.0,0.0,0.4,0.0,1295.0,0.0,0.1,0.0,0.0
8.7,0.0,54.5,0.0,3.6,0.0,0.0,0.0,0.4,0.0,0.5,0.0,1060.6,0.0,0.7,0.0
0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1359.0,0.0,10.2
10.3,0.0,17.0,0.0,3.3,0.0,2.6,0.0,0.3,0.0,34.9,0.0,1.9,0.0,721.7,0.0
0.0,0.1,0.0,0.2,0.0,8.7,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,1698.7
