protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9997;0.9997;0.9936;0.9817
browsing;0.9998;0.9998;0.9812;0.9914
chat;0.9996;0.9998;0.9886;0.9643
email;0.9997;0.9993;0.998;0.9792
file;0.9976;0.9995;0.9352;0.9854
p2p;0.9994;0.9988;0.9875;0.9649
video;0.9997;1.0;0.9973;0.9958
voip;1.0;0.9994;0.9997;0.9955
