protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.6952;0.5971;0.5051;0.6061
browsing;0.4562;0.5351;0.4974;0.4508
chat;0.7164;0.672;0.5693;0.608
email;0.9615;0.7741;0.799;0.7667
file;0.7759;0.5919;0.7984;0.7711
p2p;0.5967;0.7182;0.6572;0.6178
video;0.6279;0.85;0.6322;0.5457
voip;0.7229;0.658;0.5154;0.5935
