protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8417;0.5941;0.7347;0.5833
browsing;0.4695;0.6027;0.714;0.4952
chat;0.7915;0.63;0.3688;0.68
email;0.8723;0.7534;0.8022;0.8595
file;0.8004;0.6984;0.7366;0.8316
p2p;0.7651;0.7818;0.8551;0.6689
video;0.5937;0.8389;0.5803;0.55
voip;0.6396;0.6043;0.6069;0.6226
