protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8125;0.7265;0.8454;0.6545
browsing;0.5522;0.8;0.6373;0.619
chat;0.5675;0.9;0.5911;0.636
email;0.9318;0.7069;0.9712;0.8833
file;0.9784;0.7323;0.7468;0.7605
p2p;0.8618;0.8618;0.7788;0.7822
video;0.8671;0.8944;0.5501;0.6087
voip;0.7748;0.6783;0.6953;0.8097
