protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.5995;0.6912;0.5862;0.747
browsing;0.4663;0.7486;0.6323;0.4968
chat;0.8901;0.648;0.5552;0.714
email;0.6888;0.8586;0.8605;0.7929
file;0.8397;0.5661;0.9053;0.8053
p2p;0.9013;0.6473;0.7965;0.8
video;0.7039;0.6648;0.6597;0.6196
voip;0.6567;0.7928;0.8798;0.5194
