protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9941;0.9882;0.9429;0.95
browsing;0.991;1.0;0.9595;0.9467
chat;1.0;1.0;0.9242;0.9283
email;0.9986;0.9986;0.9835;0.9613
file;1.0;0.9892;0.8589;0.8794
p2p;1.0;1.0;0.9051;0.896
video;0.9983;1.0;0.9929;0.9952
voip;1.0;1.0;0.9947;0.9816
