protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.2442;0.0618;1.0;0.0015
browsing;0.5576;0.6691;0.65;0.0578
chat;0.3107;0.6444;0.2349;0.7783
email;0.4826;0.1203;1.0;0.1032
file;0.3153;0.3;0.3691;0.1365
p2p;0.0;0.0;0.3182;0.014
video;0.2251;0.2966;0.2878;0.9976
voip;0.3533;0.5903;0.634;0.8342
