protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.6946;0.7366;0.7241;0.0026
browsing;0.7985;0.9907;0.7804;0.2124
chat;0.527;0.9937;0.2215;0.6958
email;0.8203;0.871;0.4353;0.623
file;0.7094;0.454;0.424;0.1863
p2p;0.8379;0.6216;0.5083;0.0556
video;0.9471;0.6066;0.9747;0.8802
voip;0.9896;0.67;0.2827;0.8281
