protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9945;0.9963;0.9801;0.9709
browsing;0.9977;0.9964;0.9751;0.9792
chat;1.0;0.9999;0.9197;0.941
email;0.9997;0.9995;0.9803;0.984
file;0.9993;0.9999;0.9141;0.9019
p2p;0.9997;0.9995;0.9308;0.9298
video;0.9994;1.0;0.9916;0.9957
voip;0.9999;0.9999;0.995;0.9935
