protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.9993;0.9993;0.9977;0.9838
browsing;1.0;0.9995;0.9867;0.9963
chat;0.9999;0.9999;0.9942;0.9729
email;0.9999;0.9999;0.9996;0.989
file;0.9987;0.9999;0.9556;0.9931
p2p;0.9998;0.9995;0.9935;0.9833
video;0.9999;1.0;0.999;0.9975
voip;1.0;0.9999;0.9996;0.9966
