protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.7206;0.7613;1.0;0.0018
browsing;0.7793;0.9916;0.8103;0.2166
chat;0.5406;0.9896;0.2263;0.6694
email;0.8213;0.8799;0.4486;0.6795
file;0.6905;0.4672;0.4313;0.2736
p2p;0.8264;0.5734;0.5488;0.0499
video;0.9369;0.6042;0.9738;0.8856
voip;0.9871;0.6945;0.2904;0.8184
