protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8272;0.8996;0.7542;0.7958
browsing;0.9617;0.9856;0.9017;0.9141
chat;0.9996;1.0;0.6836;0.6814
email;0.9988;0.9997;0.9089;0.8926
file;0.941;0.7976;0.6418;0.5936
p2p;0.9331;0.9499;0.7135;0.6986
video;0.999;1.0;0.9613;0.9918
voip;0.9606;0.9683;0.8994;0.9176
