protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;nan;0.0;1.0;0.0031
browsing;0.5086;0.6586;0.0;0.0
chat;0.2691;0.6557;0.1603;0.9027
email;0.8188;0.0331;nan;0.0
file;nan;0.0;0.7613;0.081
p2p;0.8065;0.01;0.4615;0.0239
video;0.2166;0.4261;0.4962;0.8918
voip;0.362;0.5592;0.6164;0.8027
