protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8348;0.8926;0.7481;0.7957
browsing;0.9625;0.9835;0.8997;0.9192
chat;0.9989;1.0;0.7062;0.6827
email;0.9982;0.9991;0.9042;0.8849
file;0.9347;0.7804;0.6557;0.5958
p2p;0.9226;0.953;0.7036;0.7112
video;0.9973;1.0;0.963;0.9896
voip;0.9633;0.9771;0.9054;0.9258
