protocol;tor_precision;tor_recall;not_tor_precision;not_tor_recall
audio;0.8472;0.8971;0.7576;0.7909
browsing;0.9608;0.98;0.9004;0.9244
chat;0.9926;1.0;0.6774;0.7304
email;0.9913;0.9928;0.9161;0.8806
file;0.9414;0.8243;0.6156;0.5746
p2p;0.9441;0.98;0.7466;0.666
video;0.9966;1.0;0.9606;0.9881
voip;0.979;0.979;0.9175;0.9368
